#,station,moment,variable
144,03006,2016-01-02 00:04:00.000000,PM25
145,03006,2016-01-02 00:04:00.000000,SO2
146,03006,2016-01-02 00:05:00.000000,CO
147,03006,2016-01-02 00:05:00.000000,NO2
148,03006,2016-01-02 00:05:00.000000,O3
149,03006,2016-01-02 00:05:00.000000,PM25
150,03006,2016-01-02 00:05:00.000000,SO2
151,03006,2016-01-02 00:06:00.000000,CO
152,03006,2016-01-02 00:06:00.000000,NO2
153,03006,2016-01-02 00:06:00.000000,O3
154,03006,2016-01-02 00:06:00.000000,PM25
155,03006,2016-01-02 00:06:00.000000,SO2
156,03006,2016-01-02 00:07:00.000000,CO
157,03006,2016-01-02 00:07:00.000000,NO2
158,03006,2016-01-02 00:07:00.000000,O3
159,03006,2016-01-02 00:07:00.000000,PM25
160,03006,2016-01-02 00:07:00.000000,SO2
161,03006,2016-01-02 00:08:00.000000,CO
162,03006,2016-01-02 00:08:00.000000,NO2
163,03006,2016-01-02 00:08:00.000000,O3
164,03006,2016-01-02 00:08:00.000000,PM25
165,03006,2016-01-02 00:08:00.000000,SO2
166,03006,2016-01-02 00:09:00.000000,CO
167,03006,2016-01-02 00:09:00.000000,NO2
168,03006,2016-01-02 00:09:00.000000,O3
169,03006,2016-01-02 00:09:00.000000,PM25
170,03006,2016-01-02 00:09:00.000000,SO2
171,03006,2016-01-02 00:10:00.000000,CO
172,03006,2016-01-02 00:10:00.000000,NO2
173,03006,2016-01-02 00:10:00.000000,O3
174,03006,2016-01-02 00:10:00.000000,PM25
175,03006,2016-01-02 00:10:00.000000,SO2
176,03006,2016-01-02 00:11:00.000000,CO
177,03006,2016-01-02 00:11:00.000000,NO2
178,03006,2016-01-02 00:11:00.000000,O3
179,03006,2016-01-02 00:11:00.000000,PM25
180,03006,2016-01-02 00:11:00.000000,SO2
181,03006,2016-01-02 00:12:00.000000,CO
182,03006,2016-01-02 00:12:00.000000,NO2
183,03006,2016-01-02 00:12:00.000000,O3
184,03006,2016-01-02 00:12:00.000000,PM25
185,03006,2016-01-02 00:12:00.000000,SO2
186,03006,2016-01-02 00:13:00.000000,CO
187,03006,2016-01-02 00:13:00.000000,NO2
188,03006,2016-01-02 00:13:00.000000,O3
189,03006,2016-01-02 00:13:00.000000,PM25
190,03006,2016-01-02 00:13:00.000000,SO2
191,03006,2016-01-02 00:14:00.000000,CO
192,03006,2016-01-02 00:14:00.000000,NO2
193,03006,2016-01-02 00:14:00.000000,O3
194,03006,2016-01-02 00:14:00.000000,PM25
195,03006,2016-01-02 00:14:00.000000,SO2
196,03006,2016-01-02 00:15:00.000000,CO
197,03006,2016-01-02 00:15:00.000000,NO2
198,03006,2016-01-02 00:15:00.000000,O3
199,03006,2016-01-02 00:15:00.000000,PM25
200,03006,2016-01-02 00:15:00.000000,SO2
201,03006,2016-01-02 00:16:00.000000,CO
202,03006,2016-01-02 00:16:00.000000,NO2
203,03006,2016-01-02 00:16:00.000000,O3
204,03006,2016-01-02 00:16:00.000000,PM25
205,03006,2016-01-02 00:16:00.000000,SO2
206,03006,2016-01-02 00:17:00.000000,CO
207,03006,2016-01-02 00:17:00.000000,NO2
208,03006,2016-01-02 00:17:00.000000,O3
209,03006,2016-01-02 00:17:00.000000,PM25
210,03006,2016-01-02 00:17:00.000000,SO2
211,03006,2016-01-02 00:18:00.000000,CO
212,03006,2016-01-02 00:18:00.000000,NO2
213,03006,2016-01-02 00:18:00.000000,O3
214,03006,2016-01-02 00:18:00.000000,PM25
215,03006,2016-01-02 00:18:00.000000,SO2
216,03006,2016-01-02 00:19:00.000000,CO
217,03006,2016-01-02 00:19:00.000000,NO2
218,03006,2016-01-02 00:19:00.000000,O3
219,03006,2016-01-02 00:19:00.000000,PM25
220,03006,2016-01-02 00:19:00.000000,SO2
221,03006,2016-01-02 00:20:00.000000,CO
222,03006,2016-01-02 00:20:00.000000,NO2
223,03006,2016-01-02 00:20:00.000000,O3
224,03006,2016-01-02 00:20:00.000000,PM25
225,03006,2016-01-02 00:20:00.000000,SO2
226,03006,2016-01-02 00:21:00.000000,CO
227,03006,2016-01-02 00:21:00.000000,NO2
228,03006,2016-01-02 00:21:00.000000,O3
229,03006,2016-01-02 00:21:00.000000,PM25
230,03006,2016-01-02 00:21:00.000000,SO2
231,03006,2016-01-02 00:22:00.000000,CO
232,03006,2016-01-02 00:22:00.000000,NO2
233,03006,2016-01-02 00:22:00.000000,O3
234,03006,2016-01-02 00:22:00.000000,PM25
235,03006,2016-01-02 00:22:00.000000,SO2
236,03006,2016-01-02 00:23:00.000000,CO
237,03006,2016-01-02 00:23:00.000000,NO2
238,03006,2016-01-02 00:23:00.000000,O3
239,03006,2016-01-02 00:23:00.000000,PM25
240,03006,2016-01-02 00:23:00.000000,SO2
241,03006,2016-01-03 00:00:00.000000,CO
242,03006,2016-01-03 00:00:00.000000,NO2
243,03006,2016-01-03 00:00:00.000000,O3
244,03006,2016-01-03 00:00:00.000000,PM25
245,03006,2016-01-03 00:00:00.000000,SO2
246,03006,2016-01-03 00:01:00.000000,CO
247,03006,2016-01-03 00:01:00.000000,NO2
248,03006,2016-01-03 00:01:00.000000,O3
249,03006,2016-01-03 00:01:00.000000,PM25
250,03006,2016-01-03 00:01:00.000000,SO2
251,03006,2016-01-03 00:02:00.000000,CO
252,03006,2016-01-03 00:02:00.000000,NO2
253,03006,2016-01-03 00:02:00.000000,O3
254,03006,2016-01-03 00:02:00.000000,PM25
255,03006,2016-01-03 00:02:00.000000,SO2
256,03006,2016-01-03 00:03:00.000000,CO
257,03006,2016-01-03 00:03:00.000000,NO2
258,03006,2016-01-03 00:03:00.000000,O3
259,03006,2016-01-03 00:03:00.000000,PM25
260,03006,2016-01-03 00:03:00.000000,SO2
261,03006,2016-01-03 00:04:00.000000,CO
262,03006,2016-01-03 00:04:00.000000,NO2
263,03006,2016-01-03 00:04:00.000000,O3
264,03006,2016-01-03 00:04:00.000000,PM25
265,03006,2016-01-03 00:04:00.000000,SO2
266,03006,2016-01-03 00:05:00.000000,CO
267,03006,2016-01-03 00:05:00.000000,NO2
268,03006,2016-01-03 00:05:00.000000,O3
269,03006,2016-01-03 00:05:00.000000,PM25
270,03006,2016-01-03 00:05:00.000000,SO2
271,03006,2016-01-03 00:06:00.000000,CO
272,03006,2016-01-03 00:06:00.000000,NO2
273,03006,2016-01-03 00:06:00.000000,O3
274,03006,2016-01-03 00:06:00.000000,PM25
275,03006,2016-01-03 00:06:00.000000,SO2
276,03006,2016-01-03 00:07:00.000000,CO
277,03006,2016-01-03 00:07:00.000000,NO2
278,03006,2016-01-03 00:07:00.000000,O3
279,03006,2016-01-03 00:07:00.000000,PM25
280,03006,2016-01-03 00:07:00.000000,SO2
281,03006,2016-01-03 00:08:00.000000,CO
282,03006,2016-01-03 00:08:00.000000,NO2
283,03006,2016-01-03 00:08:00.000000,O3
284,03006,2016-01-03 00:08:00.000000,PM25
285,03006,2016-01-03 00:08:00.000000,SO2
286,03006,2016-01-03 00:09:00.000000,CO
287,03006,2016-01-03 00:09:00.000000,NO2
288,03006,2016-01-03 00:09:00.000000,O3
289,03006,2016-01-03 00:09:00.000000,PM25
290,03006,2016-01-03 00:09:00.000000,SO2
291,03006,2016-01-03 00:10:00.000000,CO
292,03006,2016-01-03 00:10:00.000000,NO2
293,03006,2016-01-03 00:10:00.000000,O3
294,03006,2016-01-03 00:10:00.000000,PM25
295,03006,2016-01-03 00:10:00.000000,SO2
296,03006,2016-01-03 00:11:00.000000,CO
297,03006,2016-01-03 00:11:00.000000,NO2
298,03006,2016-01-03 00:11:00.000000,O3
299,03006,2016-01-03 00:11:00.000000,PM25
300,03006,2016-01-03 00:11:00.000000,SO2
301,03006,2016-01-03 00:12:00.000000,CO
302,03006,2016-01-03 00:12:00.000000,NO2
303,03006,2016-01-03 00:12:00.000000,O3
304,03006,2016-01-03 00:12:00.000000,PM25
305,03006,2016-01-03 00:12:00.000000,SO2
306,03006,2016-01-03 00:13:00.000000,CO
307,03006,2016-01-03 00:13:00.000000,NO2
308,03006,2016-01-03 00:13:00.000000,O3
309,03006,2016-01-03 00:13:00.000000,PM25
310,03006,2016-01-03 00:13:00.000000,SO2
311,03006,2016-01-03 00:14:00.000000,CO
312,03006,2016-01-03 00:14:00.000000,NO2
313,03006,2016-01-03 00:14:00.000000,O3
314,03006,2016-01-03 00:14:00.000000,PM25
315,03006,2016-01-03 00:14:00.000000,SO2
316,03006,2016-01-03 00:15:00.000000,CO
317,03006,2016-01-03 00:15:00.000000,NO2
318,03006,2016-01-03 00:15:00.000000,O3
319,03006,2016-01-03 00:15:00.000000,PM25
320,03006,2016-01-03 00:15:00.000000,SO2
321,03006,2016-01-03 00:16:00.000000,CO
322,03006,2016-01-03 00:16:00.000000,NO2
323,03006,2016-01-03 00:16:00.000000,O3
324,03006,2016-01-03 00:16:00.000000,PM25
325,03006,2016-01-03 00:16:00.000000,SO2
326,03006,2016-01-03 00:17:00.000000,CO
327,03006,2016-01-03 00:17:00.000000,NO2
328,03006,2016-01-03 00:17:00.000000,O3
329,03006,2016-01-03 00:17:00.000000,PM25
330,03006,2016-01-03 00:17:00.000000,SO2
331,03006,2016-01-03 00:18:00.000000,CO
332,03006,2016-01-03 00:18:00.000000,NO2
333,03006,2016-01-03 00:18:00.000000,O3
334,03006,2016-01-03 00:18:00.000000,PM25
335,03006,2016-01-03 00:18:00.000000,SO2
336,03006,2016-01-03 00:19:00.000000,CO
337,03006,2016-01-03 00:19:00.000000,NO2
338,03006,2016-01-03 00:19:00.000000,O3
339,03006,2016-01-03 00:19:00.000000,PM25
340,03006,2016-01-03 00:19:00.000000,SO2
341,03006,2016-01-03 00:20:00.000000,CO
342,03006,2016-01-03 00:20:00.000000,NO2
343,03006,2016-01-03 00:20:00.000000,O3
344,03006,2016-01-03 00:20:00.000000,PM25
345,03006,2016-01-03 00:20:00.000000,SO2
346,03006,2016-01-03 00:21:00.000000,CO
347,03006,2016-01-03 00:21:00.000000,NO2
348,03006,2016-01-03 00:21:00.000000,O3
349,03006,2016-01-03 00:21:00.000000,PM25
350,03006,2016-01-03 00:21:00.000000,SO2
351,03006,2016-01-03 00:22:00.000000,CO
352,03006,2016-01-03 00:22:00.000000,NO2
353,03006,2016-01-03 00:22:00.000000,O3
354,03006,2016-01-03 00:22:00.000000,PM25
355,03006,2016-01-03 00:22:00.000000,SO2
356,03006,2016-01-03 00:23:00.000000,CO
357,03006,2016-01-03 00:23:00.000000,NO2
358,03006,2016-01-03 00:23:00.000000,O3
359,03006,2016-01-03 00:23:00.000000,PM25
360,03006,2016-01-03 00:23:00.000000,SO2
361,03006,2016-01-04 00:00:00.000000,CO
362,03006,2016-01-04 00:00:00.000000,NO2
363,03006,2016-01-04 00:00:00.000000,O3
364,03006,2016-01-04 00:00:00.000000,PM25
365,03006,2016-01-04 00:00:00.000000,SO2
366,03006,2016-01-04 00:01:00.000000,CO
367,03006,2016-01-04 00:01:00.000000,NO2
368,03006,2016-01-04 00:01:00.000000,O3
369,03006,2016-01-04 00:01:00.000000,PM25
370,03006,2016-01-04 00:01:00.000000,SO2
371,03006,2016-01-04 00:02:00.000000,CO
372,03006,2016-01-04 00:02:00.000000,NO2
373,03006,2016-01-04 00:02:00.000000,O3
374,03006,2016-01-04 00:02:00.000000,PM25
375,03006,2016-01-04 00:02:00.000000,SO2
376,03006,2016-01-04 00:03:00.000000,CO
377,03006,2016-01-04 00:03:00.000000,NO2
378,03006,2016-01-04 00:03:00.000000,O3
379,03006,2016-01-04 00:03:00.000000,PM25
380,03006,2016-01-04 00:03:00.000000,SO2
381,03006,2016-01-04 00:04:00.000000,CO
382,03006,2016-01-04 00:04:00.000000,NO2
383,03006,2016-01-04 00:04:00.000000,O3
384,03006,2016-01-04 00:04:00.000000,PM25
385,03006,2016-01-04 00:04:00.000000,SO2
386,03006,2016-01-04 00:05:00.000000,CO
387,03006,2016-01-04 00:05:00.000000,NO2
388,03006,2016-01-04 00:05:00.000000,O3
389,03006,2016-01-04 00:05:00.000000,PM25
390,03006,2016-01-04 00:05:00.000000,SO2
391,03006,2016-01-04 00:06:00.000000,CO
392,03006,2016-01-04 00:06:00.000000,NO2
393,03006,2016-01-04 00:06:00.000000,O3
394,03006,2016-01-04 00:06:00.000000,PM25
395,03006,2016-01-04 00:06:00.000000,SO2
396,03006,2016-01-04 00:07:00.000000,CO
397,03006,2016-01-04 00:07:00.000000,NO2
398,03006,2016-01-04 00:07:00.000000,O3
399,03006,2016-01-04 00:07:00.000000,PM25
400,03006,2016-01-04 00:07:00.000000,SO2
401,03006,2016-01-04 00:08:00.000000,CO
402,03006,2016-01-04 00:08:00.000000,NO2
403,03006,2016-01-04 00:08:00.000000,O3
404,03006,2016-01-04 00:08:00.000000,PM25
405,03006,2016-01-04 00:08:00.000000,SO2
406,03006,2016-01-04 00:09:00.000000,CO
407,03006,2016-01-04 00:09:00.000000,NO2
408,03006,2016-01-04 00:09:00.000000,O3
409,03006,2016-01-04 00:09:00.000000,PM25
410,03006,2016-01-04 00:09:00.000000,SO2
411,03006,2016-01-04 00:10:00.000000,CO
412,03006,2016-01-04 00:10:00.000000,NO2
413,03006,2016-01-04 00:10:00.000000,O3
414,03006,2016-01-04 00:10:00.000000,PM25
415,03006,2016-01-04 00:10:00.000000,SO2
416,03006,2016-01-04 00:11:00.000000,CO
417,03006,2016-01-04 00:11:00.000000,NO2
418,03006,2016-01-04 00:11:00.000000,O3
419,03006,2016-01-04 00:11:00.000000,PM25
420,03006,2016-01-04 00:11:00.000000,SO2
421,03006,2016-01-04 00:12:00.000000,CO
422,03006,2016-01-04 00:12:00.000000,NO2
423,03006,2016-01-04 00:12:00.000000,O3
424,03006,2016-01-04 00:12:00.000000,PM25
425,03006,2016-01-04 00:12:00.000000,SO2
426,03006,2016-01-04 00:13:00.000000,CO
427,03006,2016-01-04 00:13:00.000000,NO2
428,03006,2016-01-04 00:13:00.000000,O3
429,03006,2016-01-04 00:13:00.000000,PM25
430,03006,2016-01-04 00:13:00.000000,SO2
431,03006,2016-01-04 00:14:00.000000,CO
432,03006,2016-01-04 00:14:00.000000,NO2
433,03006,2016-01-04 00:14:00.000000,O3
434,03006,2016-01-04 00:14:00.000000,PM25
435,03006,2016-01-04 00:14:00.000000,SO2
436,03006,2016-01-04 00:15:00.000000,CO
437,03006,2016-01-04 00:15:00.000000,NO2
438,03006,2016-01-04 00:15:00.000000,O3
439,03006,2016-01-04 00:15:00.000000,PM25
440,03006,2016-01-04 00:15:00.000000,SO2
441,03006,2016-01-04 00:16:00.000000,CO
442,03006,2016-01-04 00:16:00.000000,NO2
443,03006,2016-01-04 00:16:00.000000,O3
444,03006,2016-01-04 00:16:00.000000,PM25
445,03006,2016-01-04 00:16:00.000000,SO2
446,03006,2016-01-04 00:17:00.000000,CO
447,03006,2016-01-04 00:17:00.000000,NO2
448,03006,2016-01-04 00:17:00.000000,O3
449,03006,2016-01-04 00:17:00.000000,PM25
450,03006,2016-01-04 00:17:00.000000,SO2
451,03006,2016-01-04 00:18:00.000000,CO
452,03006,2016-01-04 00:18:00.000000,NO2
453,03006,2016-01-04 00:18:00.000000,O3
454,03006,2016-01-04 00:18:00.000000,PM25
455,03006,2016-01-04 00:18:00.000000,SO2
456,03006,2016-01-04 00:19:00.000000,CO
457,03006,2016-01-04 00:19:00.000000,NO2
458,03006,2016-01-04 00:19:00.000000,O3
459,03006,2016-01-04 00:19:00.000000,PM25
460,03006,2016-01-04 00:19:00.000000,SO2
461,03006,2016-01-04 00:20:00.000000,CO
462,03006,2016-01-04 00:20:00.000000,NO2
463,03006,2016-01-04 00:20:00.000000,O3
464,03006,2016-01-04 00:20:00.000000,PM25
465,03006,2016-01-04 00:20:00.000000,SO2
466,03006,2016-01-04 00:21:00.000000,CO
467,03006,2016-01-04 00:21:00.000000,NO2
468,03006,2016-01-04 00:21:00.000000,O3
469,03006,2016-01-04 00:21:00.000000,PM25
470,03006,2016-01-04 00:21:00.000000,SO2
471,03006,2016-01-04 00:22:00.000000,CO
472,03006,2016-01-04 00:22:00.000000,NO2
473,03006,2016-01-04 00:22:00.000000,O3
474,03006,2016-01-04 00:22:00.000000,PM25
475,03006,2016-01-04 00:22:00.000000,SO2
476,03006,2016-01-04 00:23:00.000000,CO
477,03006,2016-01-04 00:23:00.000000,NO2
478,03006,2016-01-04 00:23:00.000000,O3
479,03006,2016-01-04 00:23:00.000000,PM25
480,03006,2016-01-04 00:23:00.000000,SO2
481,03006,2016-01-05 00:00:00.000000,CO
482,03006,2016-01-05 00:00:00.000000,NO2
483,03006,2016-01-05 00:00:00.000000,O3
484,03006,2016-01-05 00:00:00.000000,PM25
485,03006,2016-01-05 00:00:00.000000,SO2
486,03006,2016-01-05 00:01:00.000000,CO
487,03006,2016-01-05 00:01:00.000000,NO2
488,03006,2016-01-05 00:01:00.000000,O3
489,03006,2016-01-05 00:01:00.000000,PM25
490,03006,2016-01-05 00:01:00.000000,SO2
491,03006,2016-01-05 00:02:00.000000,CO
492,03006,2016-01-05 00:02:00.000000,NO2
493,03006,2016-01-05 00:02:00.000000,O3
494,03006,2016-01-05 00:02:00.000000,PM25
495,03006,2016-01-05 00:02:00.000000,SO2
496,03006,2016-01-05 00:03:00.000000,CO
497,03006,2016-01-05 00:03:00.000000,NO2
498,03006,2016-01-05 00:03:00.000000,O3
499,03006,2016-01-05 00:03:00.000000,PM25
500,03006,2016-01-05 00:03:00.000000,SO2
501,03006,2016-01-05 00:04:00.000000,CO
502,03006,2016-01-05 00:04:00.000000,NO2
503,03006,2016-01-05 00:04:00.000000,O3
504,03006,2016-01-05 00:04:00.000000,PM25
505,03006,2016-01-05 00:04:00.000000,SO2
506,03006,2016-01-05 00:05:00.000000,CO
507,03006,2016-01-05 00:05:00.000000,NO2
508,03006,2016-01-05 00:05:00.000000,O3
509,03006,2016-01-05 00:05:00.000000,PM25
510,03006,2016-01-05 00:05:00.000000,SO2
511,03006,2016-01-05 00:06:00.000000,CO
512,03006,2016-01-05 00:06:00.000000,NO2
513,03006,2016-01-05 00:06:00.000000,O3
514,03006,2016-01-05 00:06:00.000000,PM25
515,03006,2016-01-05 00:06:00.000000,SO2
516,03006,2016-01-05 00:07:00.000000,CO
517,03006,2016-01-05 00:07:00.000000,NO2
518,03006,2016-01-05 00:07:00.000000,O3
519,03006,2016-01-05 00:07:00.000000,PM25
520,03006,2016-01-05 00:07:00.000000,SO2
521,03006,2016-01-05 00:08:00.000000,CO
522,03006,2016-01-05 00:08:00.000000,NO2
523,03006,2016-01-05 00:08:00.000000,O3
524,03006,2016-01-05 00:08:00.000000,PM25
525,03006,2016-01-05 00:08:00.000000,SO2
526,03006,2016-01-05 00:09:00.000000,CO
527,03006,2016-01-05 00:09:00.000000,NO2
528,03006,2016-01-05 00:09:00.000000,O3
529,03006,2016-01-05 00:09:00.000000,PM25
530,03006,2016-01-05 00:09:00.000000,SO2
531,03006,2016-01-05 00:10:00.000000,CO
532,03006,2016-01-05 00:10:00.000000,NO2
533,03006,2016-01-05 00:10:00.000000,O3
534,03006,2016-01-05 00:10:00.000000,PM25
535,03006,2016-01-05 00:10:00.000000,SO2
536,03006,2016-01-05 00:11:00.000000,CO
537,03006,2016-01-05 00:11:00.000000,NO2
538,03006,2016-01-05 00:11:00.000000,O3
539,03006,2016-01-05 00:11:00.000000,PM25
540,03006,2016-01-05 00:11:00.000000,SO2
541,03006,2016-01-05 00:12:00.000000,CO
542,03006,2016-01-05 00:12:00.000000,NO2
543,03006,2016-01-05 00:12:00.000000,O3
544,03006,2016-01-05 00:12:00.000000,PM25
545,03006,2016-01-05 00:12:00.000000,SO2
546,03006,2016-01-05 00:13:00.000000,CO
547,03006,2016-01-05 00:13:00.000000,NO2
548,03006,2016-01-05 00:13:00.000000,O3
549,03006,2016-01-05 00:13:00.000000,PM25
550,03006,2016-01-05 00:13:00.000000,SO2
551,03006,2016-01-05 00:14:00.000000,CO
552,03006,2016-01-05 00:14:00.000000,NO2
553,03006,2016-01-05 00:14:00.000000,O3
554,03006,2016-01-05 00:14:00.000000,PM25
555,03006,2016-01-05 00:14:00.000000,SO2
556,03006,2016-01-05 00:15:00.000000,CO
557,03006,2016-01-05 00:15:00.000000,NO2
558,03006,2016-01-05 00:15:00.000000,O3
559,03006,2016-01-05 00:15:00.000000,PM25
560,03006,2016-01-05 00:15:00.000000,SO2
561,03006,2016-01-05 00:16:00.000000,CO
562,03006,2016-01-05 00:16:00.000000,NO2
563,03006,2016-01-05 00:16:00.000000,O3
564,03006,2016-01-05 00:16:00.000000,PM25
565,03006,2016-01-05 00:16:00.000000,SO2
566,03006,2016-01-05 00:17:00.000000,CO
567,03006,2016-01-05 00:17:00.000000,NO2
568,03006,2016-01-05 00:17:00.000000,O3
